pitch;roll;lado;movimento;sessao
-0.29827002;0.210549;D;Dorsiflexao;1476074842
-0.349761;-0.14367199;E;Dorsiflexao;1476074842
-0.29908;0.19332194;D;Dorsiflexao;1476074842
-0.366744;-0.12755597;E;Dorsiflexao;1476074842
-0.303498;0.19649899;D;Dorsiflexao;1476074842
-0.356021;-0.12903798;E;Dorsiflexao;1476074842
-0.30137402;0.19617999;D;Dorsiflexao;1476074842
-0.357404;-0.13623202;E;Dorsiflexao;1476074842
-0.307458;0.19838595;D;Dorsiflexao;1476074842
-0.352781;-0.13415301;E;Dorsiflexao;1476074842
-0.29328;0.18406403;D;Dorsiflexao;1476074842
-0.351934;-0.13010895;E;Dorsiflexao;1476074842
-0.301068;0.197101;D;Dorsiflexao;1476074842
-0.356635;-0.127424;E;Dorsiflexao;1476074842
-0.302904;0.18988097;D;Dorsiflexao;1476074842
-0.353087;-0.136042;E;Dorsiflexao;1476074842
-0.305857;0.19599903;D;Dorsiflexao;1476074842
-0.357086;-0.134318;E;Dorsiflexao;1476074842
-0.308695;0.19376099;D;Dorsiflexao;1476074842
0.386724;-0.007858038;E;Flexao;1476074842
0.378089;0.096720934;D;Flexao;1476074842
0.435092;-0.12363994;E;Flexao;1476074842
0.417619;0.04667604;D;Flexao;1476074842
0.36613;-0.08752;E;Flexao;1476074842
0.409749;0.070966005;D;Flexao;1476074842
0.398139;-0.08085799;E;Flexao;1476074842
0.463406;0.06762695;D;Flexao;1476074842
0.365082;-0.05685997;E;Flexao;1476074842
0.438797;0.10770404;D;Flexao;1476074842
0.374316;-0.07005;E;Flexao;1476074842
0.433298;0.094622016;D;Flexao;1476074842
0.385822;-0.07448304;E;Flexao;1476074842
0.444469;0.086778045;D;Flexao;1476074842
0.392286;-0.07674396;E;Flexao;1476074842
0.440742;0.081444025;D;Flexao;1476074842
0.378165;-0.07719898;E;Flexao;1476074842
0.436752;0.07955098;D;Flexao;1476074842
0.379754;-0.06621194;E;Flexao;1476074842
0.439392;0.08904803;D;Flexao;1476074842
-0.083400995;0.45175004;E;Eversao;1476074842
-0.104283005;-0.618707;D;Eversao;1476074842
-0.091998994;0.517601;E;Eversao;1476074842
-0.10669801;-0.597401;D;Eversao;1476074842
-0.08481;0.44245702;E;Eversao;1476074842
-0.103706;-0.587644;D;Eversao;1476074842
-0.087193;0.483827;E;Eversao;1476074842
-0.10543001;-0.606702;D;Eversao;1476074842
-0.087605;0.455554;E;Eversao;1476074842
-0.103524;-0.60981;D;Eversao;1476074842
-0.087937;0.47425205;E;Eversao;1476074842
-0.10446;-0.586417;D;Eversao;1476074842
-0.087108;0.47190005;E;Eversao;1476074842
-0.103998005;-0.60223204;D;Eversao;1476074842
-0.087432995;0.4828;E;Eversao;1476074842
-0.10140701;-0.594559;D;Eversao;1476074842
-0.087432995;0.4828;E;Eversao;1476074842
-0.103181005;-0.604937;D;Eversao;1476074842
-0.087405995;0.476829;E;Eversao;1476074842
-0.102753;-0.598992;D;Eversao;1476074842
-0.0011550039;-0.42231596;E;Inversao;1476074842
0.123026;0.43182302;D;Inversao;1476074842
0.010218002;-0.76805604;E;Inversao;1476074842
0.099360004;0.77233696;D;Inversao;1476074842
0.032486;-0.8778579;E;Inversao;1476074842
-0.201509;1.1377609;D;Inversao;1476074842
0.009762004;-0.8167739;E;Inversao;1476074842
-0.056868996;0.76077604;D;Inversao;1476074842
0.032061003;-0.849808;E;Inversao;1476074842
-0.055366;0.72644305;D;Inversao;1476074842
0.017035;-0.83832407;E;Inversao;1476074842
-0.061387997;0.781158;D;Inversao;1476074842
0.020070001;-0.848475;E;Inversao;1476074842
-0.052964997;0.80083394;D;Inversao;1476074842
0.021080002;-0.8296671;E;Inversao;1476074842
-0.068436;0.79196906;D;Inversao;1476074842
0.023331001;-0.834039;E;Inversao;1476074842
-0.071361005;0.7753711;D;Inversao;1476074842
0.017956004;-0.794858;E;Inversao;1476074842
-0.06625;0.76496696;D;Inversao;1476074842
-0.012715995;0.041673064;E;Repouso;1476074842
0.002381999;-0.03190601;D;Repouso;1476074842
0.012153;0.0049210787;E;Repouso;1476074842
0.002381999;-0.03190601;D;Repouso;1476074842
-0.008278996;0.06854105;E;Repouso;1476074842
0.0055910014;-0.008780956;D;Repouso;1476074842
-0.0017209947;0.053541064;E;Repouso;1476074842
0.056755;-0.053563952;D;Repouso;1476074842
-0.008595005;0.04027903;E;Repouso;1476074842
0.037926;-0.13459897;D;Repouso;1476074842
-0.019696996;0.03311801;E;Repouso;1476074842
0.0007769987;-0.042320013;D;Repouso;1476074842
-0.015737996;0.040372968;E;Repouso;1476074842
0.0018600002;-0.03840196;D;Repouso;1476074842
-0.013642997;0.020120025;E;Repouso;1476074842
0.0018040016;-0.030622005;D;Repouso;1476074842
-0.017554998;0.021905065;E;Repouso;1476074842
0.0031209998;-0.330801;D;Repouso;1476074842
-0.010806993;0.018375993;E;Repouso;1476074842
0.0012400001;-0.039543986;D;Repouso;1476074842
-0.41487598;-0.05485797;E;Dorsiflexao;1476074842
-0.356181;0.11413598;D;Dorsiflexao;1476074842
-0.43572998;-0.028836012;E;Dorsiflexao;1476074842
-0.389842;0.09749901;D;Dorsiflexao;1476074842
-0.42786098;-0.017095923;E;Dorsiflexao;1476074842
-0.358874;0.11974001;D;Dorsiflexao;1476074842
-0.39123797;-0.03320694;E;Dorsiflexao;1476074842
-0.367358;0.095458984;D;Dorsiflexao;1476074842
-0.42812097;-0.029474974;E;Dorsiflexao;1476074842
-0.371226;0.08760595;D;Dorsiflexao;1476074842
-0.42354298;-0.03575003;E;Dorsiflexao;1476074842
-0.372058;0.07019496;D;Dorsiflexao;1476074842
-0.41249698;-0.043903947;E;Dorsiflexao;1476074842
-0.368674;0.078173995;D;Dorsiflexao;1476074842
-0.414266;-0.042613983;E;Dorsiflexao;1476074842
-0.367593;0.07086897;D;Dorsiflexao;1476074842
-0.41736698;-0.045199037;E;Dorsiflexao;1476074842
-0.383851;0.071655035;D;Dorsiflexao;1476074842
-0.411618;-0.052075982;E;Dorsiflexao;1476074842
-0.378164;0.076272964;D;Dorsiflexao;1476074842
0.318854;0.028169036;E;Flexao;1476074842
0.482202;0.147511;D;Flexao;1476074842
0.330163;0.039461017;E;Flexao;1476074842
0.404753;0.025799036;D;Flexao;1476074842
0.313779;0.20514202;E;Flexao;1476074842
0.399995;-0.06476307;D;Flexao;1476074842
0.34261;0.017732978;E;Flexao;1476074842
0.40763;0.047664046;D;Flexao;1476074842
